 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 500.00 keV   5.831E-01  5.359E-04   14.59 mm   578.30 um   431.01 um  
 550.00 keV   5.457E-01  4.932E-04   16.90 mm   672.49 um   484.71 um  
 600.00 keV   5.134E-01  4.571E-04   19.37 mm   765.88 um   541.96 um  
 650.00 keV   4.853E-01  4.262E-04   21.99 mm   859.21 um   602.63 um  
 700.00 keV   4.604E-01  3.995E-04   24.76 mm   952.92 um   666.62 um  
 800.00 keV   4.184E-01  3.553E-04   30.72 mm     1.29 mm   804.23 um  
 900.00 keV   3.839E-01  3.204E-04   37.24 mm     1.60 mm   954.27 um  
   1.00 MeV   3.549E-01  2.920E-04   44.33 mm     1.91 mm     1.12 mm  
   1.10 MeV   3.295E-01  2.685E-04   51.98 mm     2.21 mm     1.29 mm  
   1.20 MeV   3.044E-01  2.486E-04   60.23 mm     2.52 mm     1.48 mm  
   1.30 MeV   2.852E-01  2.316E-04   69.11 mm     2.84 mm     1.68 mm  
   1.40 MeV   2.689E-01  2.169E-04   78.56 mm     3.16 mm     1.89 mm  
   1.50 MeV   2.545E-01  2.040E-04   88.55 mm     3.49 mm     2.12 mm  
   1.60 MeV   2.418E-01  1.927E-04   99.10 mm     3.82 mm     2.35 mm  
   1.70 MeV   2.305E-01  1.826E-04  110.17 mm     4.16 mm     2.60 mm  
   1.80 MeV   2.204E-01  1.735E-04  121.78 mm     4.50 mm     2.86 mm  
   2.00 MeV   2.031E-01  1.580E-04  146.50 mm     5.75 mm     3.42 mm  
   2.25 MeV   1.853E-01  1.423E-04  180.22 mm     7.54 mm     4.17 mm  
   2.50 MeV   1.708E-01  1.295E-04  216.98 mm     9.23 mm     4.98 mm  
   2.75 MeV   1.586E-01  1.189E-04  256.72 mm    10.89 mm     5.86 mm  
   3.00 MeV   1.481E-01  1.100E-04  299.39 mm    12.53 mm     6.80 mm  
   3.25 MeV   1.391E-01  1.024E-04  344.95 mm    14.18 mm     7.80 mm  
   3.50 MeV   1.312E-01  9.582E-05  393.35 mm    15.84 mm     8.85 mm  
   3.75 MeV   1.243E-01  9.007E-05  444.56 mm    17.52 mm     9.96 mm  
   4.00 MeV   1.181E-01  8.499E-05  498.55 mm    19.22 mm    11.13 mm  
   4.50 MeV   1.075E-01  7.645E-05  614.69 mm    25.49 mm    13.64 mm  
   5.00 MeV   9.877E-02  6.954E-05  741.65 mm    31.39 mm    16.37 mm  
   5.50 MeV   9.148E-02  6.381E-05  879.27 mm    37.16 mm    19.31 mm  
   6.00 MeV   8.527E-02  5.900E-05    1.03 m     42.91 mm    22.46 mm  
   6.50 MeV   7.991E-02  5.488E-05    1.19 m     48.68 mm    25.82 mm  
   7.00 MeV   7.524E-02  5.133E-05    1.35 m     54.50 mm    29.38 mm  
   8.00 MeV   6.748E-02  4.549E-05    1.72 m     75.81 mm    37.11 mm  
   9.00 MeV   6.128E-02  4.089E-05    2.13 m     95.75 mm    45.63 mm  
  10.00 MeV   5.621E-02  3.716E-05    2.57 m    115.26 mm    54.92 mm  
  11.00 MeV   5.197E-02  3.408E-05    3.06 m    134.73 mm    64.97 mm  
  12.00 MeV   4.838E-02  3.149E-05    3.58 m    154.36 mm    75.76 mm  
  13.00 MeV   4.529E-02  2.928E-05    4.14 m    174.23 mm    87.27 mm  
  14.00 MeV   4.260E-02  2.737E-05    4.74 m    194.39 mm    99.51 mm  
  15.00 MeV   4.024E-02  2.571E-05    5.37 m    214.89 mm   112.45 mm  
  16.00 MeV   3.816E-02  2.424E-05    6.03 m    235.74 mm   126.09 mm  
  17.00 MeV   3.629E-02  2.293E-05    6.74 m    256.94 mm   140.42 mm  
  18.00 MeV   3.462E-02  2.177E-05    7.48 m    278.49 mm   155.43 mm  
  20.00 MeV   3.173E-02  1.977E-05    9.06 m    359.16 mm   187.47 mm  
  22.50 MeV   2.879E-02  1.776E-05   11.22 m    474.63 mm   231.21 mm  
  25.00 MeV   2.640E-02  1.613E-05   13.59 m    584.21 mm   278.96 mm  
