 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Methane (gas)

 Ion = Boron [5] , Mass = 8 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 11.07%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 450.00 keV   6.422E+00  7.292E-02    2.59 mm   149.78 um   187.18 um  
 500.00 keV   6.746E+00  6.709E-02    2.78 mm   154.62 um   193.41 um  
 550.00 keV   7.057E+00  6.219E-02    2.97 mm   158.87 um   198.98 um  
 600.00 keV   7.358E+00  5.802E-02    3.15 mm   162.63 um   204.00 um  
 650.00 keV   7.650E+00  5.441E-02    3.32 mm   166.00 um   208.56 um  
 700.00 keV   7.931E+00  5.126E-02    3.49 mm   169.05 um   212.73 um  
 800.00 keV   8.464E+00  4.601E-02    3.81 mm   177.18 um   220.10 um  
 900.00 keV   8.954E+00  4.181E-02    4.10 mm   184.03 um   226.44 um  
   1.00 MeV   9.400E+00  3.836E-02    4.39 mm   189.95 um   231.99 um  
   1.10 MeV   9.800E+00  3.547E-02    4.66 mm   195.15 um   236.91 um  
   1.20 MeV   1.015E+01  3.302E-02    4.92 mm   199.82 um   241.34 um  
   1.30 MeV   1.046E+01  3.091E-02    5.17 mm   204.07 um   245.37 um  
   1.40 MeV   1.073E+01  2.907E-02    5.42 mm   207.98 um   249.07 um  
   1.50 MeV   1.095E+01  2.745E-02    5.66 mm   211.62 um   252.50 um  
   1.60 MeV   1.114E+01  2.601E-02    5.90 mm   215.06 um   255.70 um  
   1.70 MeV   1.129E+01  2.473E-02    6.13 mm   218.31 um   258.71 um  
